id,RecordDate,UpdatedDate,UpdatedBy,Market_Prices_LNG_Henry_Hub,Market_Prices_LNG_TTF,Market_Prices_LNG_JKM,Market_Prices_C3,Market_Prices_C4,Market_Prices_Condensate
1,01/06/2021,01/06/2021,Admin, 1.7650 , 1.7808 , 2.3788 , 267.01 , 234.43 , 346.25 
2,01/06/2021,01/06/2021,Admin, 2.3435 , 2.7929 , 3.7298 , 273.20 , 270.95 , 389.75 
3,01/06/2021,01/06/2021,Admin, 2.2802 , 3.9276 , 4.7263 , 262.13 , 276.33 , 368.25 
4,01/06/2021,01/06/2021,Admin, 2.8362 , 4.8842 , 6.2011 , 275.48 , 296.72 , 331.75 
5,01/06/2021,01/06/2021,Admin, 2.8720 , 4.8300 , 6.8116 , 298.27 , 378.82 , 390.25 
6,01/06/2021,01/06/2021,Admin, 2.5843 , 5.7962 , 10.8755 , 391.40 , 516.42 , 454.75 
7,01/06/2021,01/06/2021,Admin, 2.6487 , 7.2616 , 16.9180 , 480.62 , 419.59 , 504.75 
8,01/06/2021,01/06/2021,Admin, 2.9170 , 6.1285 , 6.9639 , 494.95 , 458.10 , 581.50 
9,01/06/2021,01/06/2021,Admin, 2.6220 , 6.1095 , 6.3827 , 481.93 , 442.81 , 556.25 
10,01/06/2021,01/06/2021,Admin, 2.6851 , 7.1792 , 7.9963 , 459.78 , 400.91 , 573.25 
11,01/06/2021,01/06/2021,Admin, 2.9595 , 8.8946 , 10.0321 , 463.04 , 447.90 , 602.75 
12,01/06/2021,01/06/2021,Admin, 3.2724 , 10.2781 , 11.9900 , 561.38 , 557.19 , 654.50 
13,31/07/2021,31/07/2021,Admin, 3.8150 , 12.4700 , 14.0968 , 582.87 , 594.56 , 685.75 
14,31/08/2021,31/08/2021,Admin, 4.0315 , 15.3414 , 17.0352 , 596.55 , 607.30 , 649.50 
15,14/10/2021,14/10/2021,Admin,5.114857143,22.55077273,24.69513636,737.86625,687.4275,711.25
16,08/11/2021,08/11/2021,Admin,5.571,30.669,35.9672,714.42125,731.595,767
17,08/12/2021,08/12/2021,Admin,5.12,27.624,32.8129,531.42,583.8,646
18,07/01/2022,07/01/2022,Admin,3.864,37.428,36.5825,586.13,648.92,694.05
19,07/02/2022,07/02/2022,Admin,4.2555,28.1425,25.9378,676.32,741.79,771.06
20,07/03/2022,07/03/2022,Admin,4.463,26.58995,26.97394444,730.05125,735.55875,857.525
21,07/04/2022,07/04/2022,Admin,4.9793,41.6443,39.3557,723.53875,773.4975,992.0326
22,09/05/2022,09/05/2022,Admin,6.7046,31.9255,27.9679,672.09,728.1975,900.2105
23,08/06/2022,08/06/2022,Admin,8.16348,28.84186,22.665,647.99375,716.589375,884.39286
24,14/07/2022,14/07/2022,Admin,7.598,33.97,30.5345,629.1075,640.995,798.925
